database,title,journal,year,abstract,abstract_source,search_id,search_start_year,search_end_year,run_date
pubmed,Unidirectional and bidirectional relationships between financial parenting and financial self-efficacy: Does student loan status matter?,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Cognitive reserve mitigates decline in executive functioning following hepatobiliary diseases.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Multiple perspectives on disseminating and implementing evidenced?€?based treatments: Demand and supply.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,The state of progress in diversity and inclusion initiatives: Perspectives for consulting psychology.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Everyday challenges to the practice of desirable difficulties: Introduction to the forum.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Faculty attitudes toward college students with criminal records.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Reflective practice: Finding synergy between psychological science and competency?€?based frameworks.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,The bidirectional relationship between physical health and memory.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Performance monitoring during categorization with and without prior knowledge: A comparison of confidence calibration indices with the certainty criterion.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Diverse pathways to graduate education attainment.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Improving engagement in evidence?€?based psychological treatments among Veterans: Direct?€?to?€?consumer outreach and pretreatment shared decision?€?making.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Specialty certifications for mental health practitioners: A cautionary case study.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,A brief social belonging intervention improves academic outcomes for minoritized high school students.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Family communication central to mothers?€? type 2 diabetes self-management.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,"Perinatal depression screening rates, correlates, and treatment recommendations in an obstetric population.",,,,csv_import,1,2000,2026,2026-02-07
pubmed,Relationship self-regulation: An integrative review of the literature.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,Improving the mental health of abandoned children: Experiences from a global online intervention.,,,,csv_import,1,2000,2026,2026-02-07
pubmed,The role of perceived work environment and work activities in midlife cognitive change.,,,,csv_import,1,2000,2026,2026-02-07
psycinfo,Multiple perspectives on disseminating and implementing evidenced??based treatments: Demand and supply.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Reflective practice: Finding synergy between psychological science and competency??based frameworks.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Improving engagement in evidence??based psychological treatments among Veterans: Direct??to??consumer outreach and pretreatment shared decision??making.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Family communication central to mothers?? type 2 diabetes self-management.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,"Segregation, innocence, and protection: The institutional conditions that maintain whiteness in college sports.",,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Legal education's difficulty with ??desirable difficulties?? and its impact on student success and bar passage rates.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,The future is now: Age-progressed images motivate community college students to prepare for their financial futures.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,"Demographic, personality, and social cognition correlates of coronavirus guideline adherence in a U.S. sample.",,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Socioeconomic status and well-being during COVID-19: A resource-based examination.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Understanding the role of collective racial esteem and resilience in the development of Asian American leadership self-efficacy.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,The role of institutional agents in promoting higher education success among first-generation college students at a public urban university.,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Country watch: Brazil,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Association between School Membership and Substance Use among Adolescents,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,"Acculturation, depression, self-esteem, and substance abuse among Hispanic men",,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Availability and Use of Substance Abuse Treatment Programs Among Substance-Using Men Who Have Sex With Men Worldwide,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,An integrated review of directly observed therapy for tuberculosis in Latin America,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Co-operation between South American countries in the struggle against drug abuse and illicit drug trafficking,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,High rates of substance abuse among long-term travelers to the tropics: an interventional study,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,"The Social Competence Promotion Program among Young Adolescents (SCPP-YA) in Chile (""Mi Mejor Plan"") for substance use prevention among early adolescents: study protocol for a randomized controlled trial",,,,csv_import,2,2000,2026,2026-02-07
psycinfo,The International Catholic Child Bureau and drug abuse: contributions to drug abuse prevention by a non-governmental organization concerned with children,,,,csv_import,2,2000,2026,2026-02-07
psycinfo,Chile: perspectives in school health,,,,csv_import,2,2000,2026,2026-02-07
